layer,0,1,2,3,4,5,6,7,8,9,10,11,12
en-ur,0.2588205222590406,0.27014663080648776,0.29527420650869846,0.3313467173401973,0.367477883004803,0.39338353117970387,0.40531456687062434,0.39537901169740364,0.3935924022121006,0.38055098199017545,0.356648040608046,0.3294077282112283,0.31944374177575724
en-hi,0.3650180244975167,0.34815136461104124,0.38866505346190855,0.42124787052316587,0.4524717727492486,0.4654898146380233,0.5151879629981777,0.48952673458324514,0.47727167122588954,0.44475212859019636,0.42026217939746047,0.39139956750618016,0.3753879233005911
en-sw,0.3482029439415111,0.30722202137154475,0.30397079310774694,0.31598084341567334,0.3437581959187788,0.37695340014738127,0.4161175855465844,0.39549468444977653,0.37229068419755923,0.3530946425310052,0.32760560313416603,0.2682227716341831,0.255859912459415
en-th,0.30926261365264596,0.2968340701092412,0.3320286519536884,0.360119399038966,0.42097394749184913,0.4598720094715242,0.4586971718559004,0.40297340351030153,0.38051553137833855,0.3686719759935415,0.3462687130434197,0.3068421481299213,0.29392726329220287
en-fr,0.4927605716808712,0.5063682162459939,0.571700963564921,0.6549092416893372,0.703683596965919,0.7418121021446415,0.7851702712094089,0.7789943726113264,0.7705486699287479,0.7559624532040646,0.7283304701182585,0.6717547341181852,0.6674600120133382
en-de,0.5407695582243305,0.5446900210826437,0.6120419260285139,0.6711513862410216,0.704789293588491,0.7362564921505745,0.7680270046546708,0.7595417306101913,0.7491353285087792,0.7355047306998149,0.7086761799499196,0.6611372256903263,0.6449391961538136
en-es,0.5404596707229782,0.5321229688149247,0.5850180341505627,0.6623690512890563,0.7097515839285821,0.7504791516721596,0.7879834476038152,0.7762890034020825,0.7597663742433507,0.7363221050304979,0.7086879418115092,0.6563352075894038,0.6293357067330612
ur-hi,0.21446559835732718,0.20993971898751038,0.23693102178431266,0.25454523996579925,0.27466591767832016,0.2891645341964327,0.31412621887613,0.3057553324419431,0.30803141987151667,0.28781039888530147,0.2711494437362081,0.26032673987251964,0.2532305160671466
ur-sw,0.1651691640965873,0.1698960365273178,0.17476604308420293,0.18724903441520996,0.200270631551129,0.22560099506993167,0.23812521206980392,0.2246823715755434,0.21932668562843824,0.21197383780074538,0.200030088070682,0.17324149451171791,0.17250889688418805
ur-th,0.15346554662714867,0.15987120528071042,0.1864009491534365,0.20021343002157801,0.23604307994105816,0.26362191487151354,0.2572661804150746,0.23604625115078234,0.23054186280587893,0.22126779205669891,0.20201349812374003,0.18280213959412958,0.18701014577605793
